user_id,model,channel,credit,credit_percentage,num_touches
5,last_click,instagram,100.0,100.0,4
5,linear,email,25.0,25.0,4
5,linear,instagram,25.0,25.0,4
5,linear,google_search,25.0,25.0,4
5,linear,instagram,25.0,25.0,4
5,time_decay,email,6.666666666666667,6.666666666666667,4
5,time_decay,instagram,13.333333333333334,13.333333333333334,4
5,time_decay,google_search,26.666666666666668,26.666666666666668,4
5,time_decay,instagram,53.333333333333336,53.333333333333336,4
5,position_based,email,40.0,40.0,4
5,position_based,instagram,9.999999999999998,9.999999999999998,4
5,position_based,google_search,9.999999999999998,9.999999999999998,4
5,position_based,instagram,40.0,40.0,4
7,last_click,instagram,100.0,100.0,3
7,linear,display,33.333333333333336,33.333333333333336,3
7,linear,display,33.333333333333336,33.333333333333336,3
7,linear,instagram,33.333333333333336,33.333333333333336,3
7,time_decay,display,14.285714285714285,14.285714285714285,3
7,time_decay,display,28.57142857142857,28.57142857142857,3
7,time_decay,instagram,57.14285714285714,57.14285714285714,3
7,position_based,display,40.0,40.0,3
7,position_based,display,19.999999999999996,19.999999999999996,3
7,position_based,instagram,40.0,40.0,3
11,last_click,google_search,100.0,100.0,5
11,linear,email,20.0,20.0,5
11,linear,organic,20.0,20.0,5
11,linear,display,20.0,20.0,5
11,linear,facebook,20.0,20.0,5
11,linear,google_search,20.0,20.0,5
11,time_decay,email,3.225806451612903,3.225806451612903,5
11,time_decay,organic,6.451612903225806,6.451612903225806,5
11,time_decay,display,12.903225806451612,12.903225806451612,5
11,time_decay,facebook,25.806451612903224,25.806451612903224,5
11,time_decay,google_search,51.61290322580645,51.61290322580645,5
11,position_based,email,40.0,40.0,5
11,position_based,organic,6.666666666666665,6.666666666666665,5
11,position_based,display,6.666666666666665,6.666666666666665,5
11,position_based,facebook,6.666666666666665,6.666666666666665,5
11,position_based,google_search,40.0,40.0,5
13,last_click,instagram,100.0,100.0,4
13,linear,display,25.0,25.0,4
13,linear,organic,25.0,25.0,4
13,linear,organic,25.0,25.0,4
13,linear,instagram,25.0,25.0,4
13,time_decay,display,6.666666666666667,6.666666666666667,4
13,time_decay,organic,13.333333333333334,13.333333333333334,4
13,time_decay,organic,26.666666666666668,26.666666666666668,4
13,time_decay,instagram,53.333333333333336,53.333333333333336,4
13,position_based,display,40.0,40.0,4
13,position_based,organic,9.999999999999998,9.999999999999998,4
13,position_based,organic,9.999999999999998,9.999999999999998,4
13,position_based,instagram,40.0,40.0,4
14,last_click,instagram,100.0,100.0,7
14,linear,email,14.285714285714286,14.285714285714286,7
14,linear,organic,14.285714285714286,14.285714285714286,7
14,linear,google_search,14.285714285714286,14.285714285714286,7
14,linear,display,14.285714285714286,14.285714285714286,7
14,linear,display,14.285714285714286,14.285714285714286,7
14,linear,display,14.285714285714286,14.285714285714286,7
14,linear,instagram,14.285714285714286,14.285714285714286,7
14,time_decay,email,0.7874015748031495,0.7874015748031495,7
14,time_decay,organic,1.574803149606299,1.574803149606299,7
14,time_decay,google_search,3.149606299212598,3.149606299212598,7
14,time_decay,display,6.299212598425196,6.299212598425196,7
14,time_decay,display,12.598425196850393,12.598425196850393,7
14,time_decay,display,25.196850393700785,25.196850393700785,7
14,time_decay,instagram,50.39370078740157,50.39370078740157,7
14,position_based,email,40.0,40.0,7
14,position_based,organic,3.999999999999999,3.9999999999999996,7
14,position_based,google_search,3.999999999999999,3.9999999999999996,7
14,position_based,display,3.999999999999999,3.9999999999999996,7
14,position_based,display,3.999999999999999,3.9999999999999996,7
14,position_based,display,3.999999999999999,3.9999999999999996,7
14,position_based,instagram,40.0,40.0,7
15,last_click,tiktok,100.0,100.0,4
15,linear,tiktok,25.0,25.0,4
15,linear,display,25.0,25.0,4
15,linear,display,25.0,25.0,4
15,linear,tiktok,25.0,25.0,4
15,time_decay,tiktok,6.666666666666667,6.666666666666667,4
15,time_decay,display,13.333333333333334,13.333333333333334,4
15,time_decay,display,26.666666666666668,26.666666666666668,4
15,time_decay,tiktok,53.333333333333336,53.333333333333336,4
15,position_based,tiktok,40.0,40.0,4
15,position_based,display,9.999999999999998,9.999999999999998,4
15,position_based,display,9.999999999999998,9.999999999999998,4
15,position_based,tiktok,40.0,40.0,4
18,last_click,email,100.0,100.0,5
18,linear,display,20.0,20.0,5
18,linear,organic,20.0,20.0,5
18,linear,facebook,20.0,20.0,5
18,linear,display,20.0,20.0,5
18,linear,email,20.0,20.0,5
18,time_decay,display,3.225806451612903,3.225806451612903,5
18,time_decay,organic,6.451612903225806,6.451612903225806,5
18,time_decay,facebook,12.903225806451612,12.903225806451612,5
18,time_decay,display,25.806451612903224,25.806451612903224,5
18,time_decay,email,51.61290322580645,51.61290322580645,5
18,position_based,display,40.0,40.0,5
18,position_based,organic,6.666666666666665,6.666666666666665,5
18,position_based,facebook,6.666666666666665,6.666666666666665,5
18,position_based,display,6.666666666666665,6.666666666666665,5
18,position_based,email,40.0,40.0,5
